t_rel_s,volt_v,curr_a
0.329,3.636431,-1.072680
0.824,3.635299,-1.072641
1.359,3.634492,-1.072428
1.853,3.633803,-1.072192
2.347,3.633117,-1.072216
2.882,3.632500,-1.072079
3.376,3.632065,-1.072003
3.871,3.631530,-1.071858
4.365,3.631133,-1.071497
4.859,3.630730,-1.071487
5.395,3.630269,-1.071258
5.889,3.629818,-1.071050
6.383,3.629495,-1.070669
6.878,3.629251,-1.070345
7.372,3.628827,-1.069988
7.907,3.628451,-1.069693
8.401,3.628257,-1.069379
8.895,3.627995,-1.069089
9.390,3.627590,-1.068825
9.925,3.627328,-1.068405
10.419,3.627171,-1.068128
10.914,3.626825,-1.067681
11.408,3.626597,-1.067137
11.943,3.626404,-1.066772
12.437,3.626164,-1.066371
12.931,3.625839,-1.065761
13.425,3.625680,-1.065514
13.961,3.625523,-1.065062
14.455,3.625224,-1.064625
14.949,3.624996,-1.064301
15.443,3.624875,-1.064054
15.979,3.624624,-1.063581
16.473,3.624339,-1.063270
16.967,3.624223,-1.062725
17.462,3.624066,-1.062412
17.956,3.623752,-1.062081
18.491,3.623566,-1.061623
18.985,3.623475,-1.061353
19.479,3.623260,-1.061058
19.973,3.622991,-1.060644
20.509,3.622901,-1.060156
21.003,3.622782,-1.059819
21.496,3.622504,-1.059600
22.031,3.622335,-1.059121
22.525,3.622278,-1.058852
23.019,3.622022,-1.058507
23.513,3.621874,-1.058018
24.007,3.621845,-1.057828
24.542,3.621643,-1.057432
25.036,3.621378,-1.057098
25.530,3.621357,-1.056686
26.024,3.621230,-1.056340
26.559,3.620951,-1.056116
27.053,3.620873,-1.055735
27.547,3.620644,-1.055556
28.041,3.620342,-1.055184
28.576,3.620249,-1.054891
29.070,3.620184,-1.054550
29.564,3.620030,-1.054034
30.058,3.619791,-1.053810
30.552,3.619783,-1.053551
31.087,3.619677,-1.053022
31.581,3.619409,-1.052831
32.075,3.619350,-1.052552
32.569,3.619291,-1.052327
33.104,3.619069,-1.052013
33.598,3.618932,-1.051746
34.092,3.618910,-1.051569
34.586,3.618712,-1.051292
35.121,3.618501,-1.051116
35.615,3.618469,-1.050970
36.109,3.618378,-1.050613
36.603,3.618136,-1.050447
37.138,3.618085,-1.050173
37.632,3.618043,-1.049994
38.126,3.617823,-1.049676
69.049,3.627851,-1.058038
69.543,3.626919,-1.058143
70.078,3.626019,-1.058303
70.573,3.625333,-1.058440
71.067,3.624855,-1.058555
71.561,3.624338,-1.058516
72.097,3.623736,-1.058501
72.591,3.623377,-1.058400
73.085,3.623052,-1.058510
73.620,3.622589,-1.058313
74.114,3.622171,-1.058351
74.608,3.621968,-1.058163
75.102,3.621637,-1.058224
75.596,3.621225,-1.058019
76.132,3.621018,-1.057739
76.626,3.620832,-1.057496
77.120,3.620485,-1.057178
77.614,3.620234,-1.057127
78.148,3.620063,-1.056926
78.642,3.619784,-1.056743
79.136,3.619495,-1.056586
79.671,3.619332,-1.056259
80.165,3.619157,-1.056128
80.659,3.618819,-1.055790
81.153,3.618931,-1.055351
81.647,3.618825,-1.055142
82.182,3.618587,-1.054730
82.676,3.618359,-1.054549
83.170,3.618310,-1.054274
83.664,3.618133,-1.053988
84.199,3.617896,-1.053766
84.692,3.617810,-1.053528
85.187,3.617708,-1.053279
85.681,3.617442,-1.053092
86.216,3.617250,-1.052771
86.710,3.617138,-1.052511
87.204,3.617038,-1.052124
87.698,3.616861,-1.051970
88.233,3.616802,-1.051647
88.726,3.616684,-1.051373
89.220,3.616500,-1.051096
89.714,3.616433,-1.050695
90.249,3.616339,-1.050510
90.744,3.616302,-1.050359
91.238,3.616035,-1.050160
91.732,3.616044,-1.049847
92.226,3.615885,-1.049530
92.761,3.615526,-1.049327
93.254,3.615522,-1.048722
93.748,3.615431,-1.048757
94.242,3.615239,-1.048651
94.777,3.615131,-1.048263
95.271,3.615133,-1.047887
95.765,3.614983,-1.047686
96.300,3.614823,-1.047533
96.794,3.614821,-1.047268
97.288,3.614705,-1.047098
97.782,3.614491,-1.047027
98.317,3.614426,-1.046751
98.811,3.614396,-1.046323
99.305,3.614187,-1.046372
99.799,3.614116,-1.046134
100.293,3.614162,-1.045958
100.828,3.613986,-1.045541
101.322,3.613847,-1.045328
101.816,3.613953,-1.045194
102.351,3.613900,-1.044988
102.845,3.613771,-1.044852
103.339,3.613744,-1.044586
103.833,3.613729,-1.044457
104.368,3.613539,-1.044271
104.862,3.613406,-1.044247
105.356,3.613418,-1.043981
105.850,3.611929,-1.043605
106.385,3.612447,-1.043616
