prodigit_busy,prodigit_current,prodigit_mode,prodigit_power,prodigit_voltage,timestamp
False,0.998,CC,45.8,45.84,2025-09-11 17:26:14.639
False,0.998,CC,45.0,45.095,2025-09-11 17:26:15.652
False,0.998,CC,44.8,44.881,2025-09-11 17:26:16.664
False,0.998,CC,45.9,46.065,2025-09-11 17:26:17.673
False,0.999,CC,44.6,44.681,2025-09-11 17:26:18.682
False,0.998,CC,45.5,45.583,2025-09-11 17:26:19.691
False,0.998,CC,44.4,44.547,2025-09-11 17:26:20.700
False,0.998,CC,44.9,44.97,2025-09-11 17:26:21.708
False,0.998,CC,46.0,46.066,2025-09-11 17:26:22.717
False,0.998,CC,44.6,44.742,2025-09-11 17:26:23.726
False,0.998,CC,45.3,45.376,2025-09-11 17:26:24.735
False,0.998,CC,45.6,45.699,2025-09-11 17:26:25.744
False,0.998,CC,44.4,44.532,2025-09-11 17:26:26.753
False,0.998,CC,45.8,45.934,2025-09-11 17:26:27.762
False,0.998,CC,44.5,44.562,2025-09-11 17:26:28.771
False,0.998,CC,44.6,44.738,2025-09-11 17:26:29.791
False,0.998,CC,45.9,46.058,2025-09-11 17:26:30.802
False,0.998,CC,44.7,44.793,2025-09-11 17:26:31.811
False,1.001,CC,45.3,45.299,2025-09-11 17:26:32.820
False,0.998,CC,45.7,45.861,2025-09-11 17:26:33.828
False,-0.0,CC,0.0,44.586,2025-09-11 17:26:34.837
False,0.0,CC,0.0,45.795,2025-09-11 17:26:35.846
False,-0.0,CC,0.0,45.463,2025-09-11 17:26:36.855
False,-0.0,CC,0.0,44.644,2025-09-11 17:26:37.864
False,-0.0,CC,0.0,44.879,2025-09-11 17:26:38.876
False,0.0,CC,0.0,46.131,2025-09-11 17:26:39.889
False,-0.0,CC,0.0,44.925,2025-09-11 17:26:40.898
False,0.0,CC,0.0,45.969,2025-09-11 17:26:41.907
False,1.983,CC,88.9,44.851,2025-09-11 17:26:42.916
False,2.0,CC,89.1,44.557,2025-09-11 17:26:43.938
False,1.999,CC,91.1,45.558,2025-09-11 17:26:44.949
False,1.999,CC,91.4,45.751,2025-09-11 17:26:45.958
False,2.0,CC,89.0,44.501,2025-09-11 17:26:46.966
False,2.0,CC,91.4,45.717,2025-09-11 17:26:47.975
False,2.0,CC,90.7,45.379,2025-09-11 17:26:48.984
False,2.0,CC,89.6,44.582,2025-09-11 17:26:49.992
False,1.999,CC,91.7,45.875,2025-09-11 17:26:51.006
False,2.0,CC,90.7,45.344,2025-09-11 17:26:52.020
False,2.0,CC,89.1,44.571,2025-09-11 17:26:53.030
False,2.0,CC,91.8,45.9,2025-09-11 17:26:54.039
False,1.999,CC,90.1,45.084,2025-09-11 17:26:55.047
False,2.0,CC,89.7,44.862,2025-09-11 17:26:56.056
False,2.0,CC,92.0,46.029,2025-09-11 17:26:57.065
False,1.999,CC,91.6,44.896,2025-09-11 17:26:58.073
False,2.0,CC,91.2,45.63,2025-09-11 17:26:59.086
False,2.0,CC,91.8,45.913,2025-09-11 17:27:00.100
False,0.0,CC,0.0,46.06,2025-09-11 17:27:01.110
False,0.0,CC,0.0,46.107,2025-09-11 17:27:02.123
False,-0.0,CC,0.0,44.735,2025-09-11 17:27:03.133
False,0.0,CC,0.0,45.446,2025-09-11 17:27:04.142
