t_rel_s,voc_v,esr_ohm
38.524,3.753700,0.130600
39.185,3.755300,0.129200
39.845,3.756200,0.128800
40.505,3.757000,0.128400
41.165,3.757600,0.128200
41.825,3.758100,0.128400
42.485,3.758500,0.128600
43.145,3.758900,0.128300
43.805,3.759300,0.128400
44.465,3.759600,0.128700
45.125,3.760000,0.128600
45.785,3.760200,0.128800
46.445,3.760500,0.128600
47.105,3.760800,0.128800
47.765,3.761000,0.128800
48.425,3.761300,0.128600
49.085,3.761500,0.128900
49.745,3.761700,0.129200
50.405,3.761900,0.129200
51.066,3.762100,0.129100
51.726,3.762300,0.129100
52.385,3.762500,0.129300
53.045,3.762600,0.129200
53.706,3.762800,0.129500
54.366,3.763000,0.129400
55.026,3.763200,0.129300
55.686,3.763400,0.129200
56.346,3.763500,0.129300
57.006,3.763600,0.129400
57.666,3.763800,0.129300
58.326,3.763900,0.129200
58.986,3.764100,0.129400
59.646,3.764200,0.129500
60.306,3.764300,0.129300
60.966,3.764500,0.129400
61.626,3.764600,0.129400
62.286,3.764700,0.129800
62.946,3.764800,0.129600
63.606,3.764900,0.129400
64.266,3.765100,0.129500
64.926,3.765200,0.129500
65.586,3.765300,0.129400
66.247,3.765400,0.129200
66.907,3.765500,0.129500
67.567,3.765600,0.129300
68.227,3.765700,0.129200
107.269,3.747600,0.132000
107.929,3.749200,0.130100
108.590,3.750200,0.130300
109.249,3.750900,0.129500
109.910,3.751600,0.130600
110.569,3.752100,0.129500
111.229,3.752600,0.129400
111.889,3.753100,0.129100
112.550,3.753500,0.129400
113.210,3.753800,0.129600
113.870,3.754200,0.129800
114.530,3.754500,0.129600
115.190,3.754800,0.129800
115.850,3.755100,0.129300
116.510,3.755400,0.129400
117.170,3.755600,0.129100
117.830,3.755900,0.129000
118.490,3.756100,0.129400
119.150,3.756400,0.129100
119.810,3.756600,0.129100
120.470,3.756800,0.129100
121.130,3.757000,0.128900
121.790,3.757200,0.129100
122.450,3.757400,0.128700
123.110,3.757600,0.128900
123.770,3.757800,0.129400
124.430,3.758000,0.129800
125.090,3.758200,0.130600
125.750,3.758300,0.130700
126.410,3.758500,0.130700
127.071,3.758700,0.130700
127.730,3.758800,0.130500
128.390,3.759000,0.130500
129.051,3.759100,0.131500
129.711,3.759300,0.130600
130.371,3.759400,0.130700
131.031,3.759600,0.130500
131.691,3.759700,0.130600
132.351,3.759900,0.130400
133.011,3.759900,0.131300
133.671,3.760100,0.130500
134.331,3.760300,0.130300
134.991,3.760400,0.130500
135.651,3.760500,0.130300
136.311,3.760600,0.130500
136.971,3.760800,0.130300
