step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.588038,0.0,3.7618355751037598,OK
2,discharge,1.0,3.362727,-1.072109,18.333563566207886,OK
3,discharge,1.0,3.354817,-1.066949,28.355392932891846,OK
4,discharge,1.0,3.351006,-1.059414,38.429312229156494,OK
5,discharge,1.0,3.348345,-1.052758,48.46084976196289,OK
6,discharge,1.0,3.346087,-1.047818,58.48994779586792,OK
7,discharge,1.0,3.344136,-1.043987,68.53287243843079,OK
8,discharge,1.0,3.342356,-1.041222,78.56446862220764,OK
9,discharge,1.0,3.340815,-1.038858,88.59315466880798,OK
10,discharge,1.0,3.339356,-1.037089,98.61882758140564,OK
11,discharge,1.0,3.337954,-1.035455,108.64832592010498,OK
12,discharge,1.0,3.336634,-1.034113,118.7095239162445,OK
13,discharge,1.0,3.336467,-1.033792,129.0363850593567,OK
14,discharge,1.0,3.336467,-1.033792,139.44506740570068,OK
15,discharge,1.0,3.336467,-1.033792,149.84984731674194,OK
16,discharge,1.0,3.336467,-1.033792,160.17435312271118,OK
17,charge,0.2,3.591548,0.2,173.91765069961548,OK
18,charge,0.4,3.640385,0.4,184.02994298934937,OK
19,charge,0.6,3.688073,0.6,194.1389343738556,OK
20,charge,0.8,3.735703,0.8,204.24702048301697,OK
21,charge,1.0,3.78356,1.0,214.3542284965515,OK
22,charge,0.5,3.685507,0.5,224.462162733078,OK
23,discharge,1.0,3.356759,-1.056689,239.0397207736969,OK
24,discharge,1.0,3.34687,-1.053236,249.06111550331116,OK
