SOC (%),VOLT (V),ESR (Ω)
0.0,3.5,0.2071
0.05583472920156337,3.5166,0.2051
0.11166945840312674,3.5332,0.2032
0.16750418760469013,3.5498,0.2013
0.22333891680625348,3.5664,0.1993
0.27917364600781686,3.583,0.1974
0.33500837520938026,3.5996,0.1955
0.3908431044109436,3.6162,0.1935
0.44667783361250696,3.6328,0.1916
0.5025125628140703,3.6494,0.1897
0.5583472920156337,3.666,0.1877
0.6141820212171971,3.6826,0.1858
0.6700167504187605,3.6922,0.1846
0.7258514796203238,3.6979,0.1833
0.7816862088218872,3.7025,0.1819
0.8375209380234506,3.7072,0.1806
0.8933556672250139,3.7118,0.1792
0.9491903964265773,3.7164,0.1779
1.0050251256281406,3.721,0.1765
1.0608598548297041,3.7256,0.1751
1.1166945840312674,3.7303,0.1738
1.1725293132328307,3.7349,0.1724
1.2283640424343942,3.7395,0.1711
1.2841987716359575,3.7441,0.1697
1.340033500837521,3.7487,0.1683
1.3958682300390843,3.7534,0.167
1.4517029592406476,3.758,0.1656
1.5075376884422111,3.7626,0.1642
1.5633724176437744,3.7672,0.1629
1.6192071468453377,3.7719,0.1615
1.6750418760469012,3.7765,0.1602
1.7308766052484645,3.7811,0.1588
1.7867113344500278,3.7857,0.1574
1.8425460636515913,3.7903,0.1561
1.8983807928531546,3.795,0.1547
1.954215522054718,3.7996,0.1533
2.0100502512562812,3.8042,0.152
2.0658849804578447,3.8088,0.1506
2.1217197096594083,3.8135,0.1493
2.1775544388609713,3.8181,0.1479
2.233389168062535,3.8227,0.1465
2.2892238972640984,3.8273,0.1452
2.3450586264656614,3.8319,0.1438
2.400893355667225,3.8366,0.1424
2.4567280848687885,3.8412,0.1411
2.512562814070352,3.8458,0.1397
2.568397543271915,3.8504,0.1384
2.6242322724734786,3.855,0.137
2.680067001675042,3.8597,0.1356
2.735901730876605,3.8643,0.1343
2.7917364600781687,3.8689,0.1329
2.847571189279732,3.8735,0.1315
2.9034059184812953,3.8782,0.1302
2.9592406476828588,3.8828,0.1288
3.0150753768844223,3.8874,0.1275
3.0709101060859854,3.892,0.1261
3.126744835287549,3.8966,0.1247
3.1825795644891124,3.9013,0.1234
3.2384142936906755,3.9059,0.122
3.294249022892239,3.9105,0.1206
3.3500837520938025,3.9151,0.1193
3.4059184812953656,3.9198,0.1179
3.461753210496929,3.9244,0.1166
3.5175879396984926,3.929,0.1152
3.5734226689000557,3.9336,0.1138
3.629257398101619,3.9382,0.1125
3.6850921273031827,3.9429,0.1111
3.7409268565047458,3.9475,0.1098
3.7967615857063093,3.9521,0.1084
3.852596314907873,3.9567,0.107
3.908431044109436,3.9613,0.1057
3.9642657733109994,3.966,0.1043
4.0201005025125625,3.9706,0.1029
4.075935231714126,3.9752,0.1016
4.1317699609156895,3.9798,0.1002
4.187604690117253,3.9845,0.0989
4.2434394193188165,3.9891,0.0975
4.29927414852038,3.9937,0.0961
4.355108877721943,3.9983,0.0948
4.410943606923507,4.0029,0.0934
4.46677833612507,4.0076,0.092
4.522613065326633,4.0122,0.0907
4.578447794528197,4.0168,0.0893
4.63428252372976,4.0214,0.088
4.690117252931323,4.0261,0.0866
4.745951982132887,4.0307,0.0852
4.80178671133445,4.0353,0.0839
4.857621440536013,4.0399,0.0825
4.913456169737577,4.0445,0.0811
4.96929089893914,4.0492,0.0798
5.025125628140704,4.0538,0.0784
5.080960357342267,4.0584,0.0771
5.13679508654383,4.063,0.0757
5.192629815745394,4.0676,0.0743
5.248464544946957,4.0723,0.073
5.30429927414852,4.0769,0.0716
5.360134003350084,4.0815,0.0702
5.415968732551647,4.0861,0.0689
5.47180346175321,4.0908,0.0675
5.527638190954774,4.0954,0.0662
5.583472920156337,4.1,0.0648
