step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.430325,0.0,14.473904848098755,OK
2,discharge,1.0,3.220129,-1.065013,27.639517307281494,OK
3,discharge,1.0,3.218464,-1.064925,28.644376277923584,OK
4,discharge,1.0,3.217264,-1.064502,29.648175954818726,OK
5,discharge,1.0,3.21554,-1.064178,30.652387142181396,OK
6,discharge,1.0,3.214464,-1.063713,31.656646251678467,OK
7,discharge,1.0,3.212773,-1.063279,32.66101789474487,OK
8,discharge,1.0,3.211612,-1.06265,33.66677212715149,OK
9,discharge,1.0,3.210852,-1.061929,34.671016693115234,OK
10,discharge,1.0,3.210143,-1.061392,35.67674231529236,OK
11,discharge,1.0,3.209352,-1.060732,36.68148493766785,OK
12,discharge,1.0,3.208692,-1.060036,37.68858575820923,OK
13,discharge,1.0,3.208036,-1.059417,38.6941397190094,OK
14,discharge,1.0,3.207445,-1.058596,39.698972940444946,OK
15,discharge,1.0,3.20687,-1.057826,40.70341682434082,OK
16,discharge,1.0,3.206343,-1.057043,41.70788621902466,OK
17,charge,0.2,3.46032,0.2,58.566290855407715,OK
18,charge,0.4,3.500175,0.4,59.64655828475952,OK
19,charge,0.6,3.540532,0.6,60.726083517074585,OK
20,charge,0.8,3.581237,0.8,61.80639100074768,OK
21,charge,1.0,3.622808,1.0,62.88646960258484,OK
22,charge,0.5,3.525701,0.5,63.96619939804077,OK
23,discharge,1.0,3.21479,-1.057858,77.7020959854126,OK
24,discharge,1.0,3.213271,-1.058027,78.70844531059265,OK
