t_rel_s,volt_v,curr_a
41.373,3.530505,-1.043708
42.032,3.530099,-1.043391
42.526,3.529816,-1.043014
43.020,3.529484,-1.042801
49.564,3.524593,-1.040383
50.099,3.524128,-1.040200
50.593,3.523775,-1.040009
51.087,3.523321,-1.040008
51.581,3.522956,-1.039850
52.116,3.522559,-1.039628
52.610,3.522191,-1.039438
53.104,3.521857,-1.039321
53.598,3.521478,-1.039077
54.133,3.521086,-1.038892
54.627,3.520641,-1.038851
55.121,3.520229,-1.038600
55.615,3.519762,-1.038424
56.150,3.519306,-1.038147
56.644,3.518913,-1.038083
57.138,3.518461,-1.037860
57.632,3.518017,-1.037839
58.167,3.517553,-1.037786
58.661,3.517050,-1.037446
59.155,3.516603,-1.037455
59.649,3.516076,-1.037242
60.184,3.515506,-1.037150
60.678,3.515018,-1.036840
61.171,3.514416,-1.036893
61.665,3.513823,-1.036871
62.200,3.513310,-1.036636
62.694,3.512683,-1.036465
63.188,3.511840,-1.036440
63.682,3.511094,-1.036212
64.217,3.510389,-1.036087
64.711,3.509806,-1.035947
65.205,3.509307,-1.035790
65.699,3.508570,-1.035799
66.234,3.508078,-1.035632
66.728,3.507685,-1.035444
67.222,3.507284,-1.035290
67.716,3.507007,-1.035170
68.251,3.506644,-1.034949
68.745,3.506166,-1.035009
69.239,3.505687,-1.035026
69.733,3.505199,-1.034741
70.268,3.504791,-1.034407
70.762,3.504340,-1.034507
71.256,3.503983,-1.034581
71.750,3.503866,-1.034498
72.285,3.503440,-1.034288
72.779,3.503133,-1.034275
73.273,3.502832,-1.034188
73.767,3.502534,-1.034160
74.260,3.502234,-1.034000
74.795,3.502079,-1.033676
75.290,3.501757,-1.033622
75.784,3.501644,-1.033323
76.319,3.501302,-1.033263
76.813,3.501209,-1.033026
77.307,3.500840,-1.033069
77.802,3.500597,-1.033089
78.337,3.500337,-1.033226
78.831,3.500102,-1.033195
79.325,3.499872,-1.033019
79.861,3.499636,-1.033010
80.355,3.499560,-1.032933
80.849,3.499243,-1.032902
81.343,3.499051,-1.032851
81.879,3.498856,-1.032810
82.373,3.498687,-1.032801
82.888,3.498512,-1.032696
83.382,3.498324,-1.032579
83.876,3.498214,-1.032500
114.838,3.508420,-1.046238
115.373,3.507710,-1.046401
115.867,3.507059,-1.046472
116.361,3.506351,-1.046658
116.896,3.505754,-1.046799
117.390,3.505217,-1.046930
117.884,3.504685,-1.046974
118.420,3.504132,-1.046957
118.914,3.503604,-1.047124
119.408,3.503128,-1.047011
119.943,3.502731,-1.047008
120.437,3.502383,-1.046850
120.931,3.501954,-1.046788
121.425,3.501591,-1.046727
121.960,3.501208,-1.046575
122.454,3.500843,-1.046469
122.948,3.500465,-1.046372
123.442,3.500081,-1.046127
123.978,3.499739,-1.046003
124.472,3.499453,-1.045848
124.966,3.499173,-1.045687
125.460,3.498921,-1.045444
125.995,3.498722,-1.045345
126.490,3.498693,-1.044988
126.984,3.498480,-1.044901
127.519,3.498292,-1.044769
128.013,3.498023,-1.044589
128.507,3.497808,-1.044037
129.001,3.497557,-1.044024
129.536,3.497162,-1.043900
130.030,3.497014,-1.043664
130.524,3.496710,-1.043330
131.019,3.496509,-1.043062
131.554,3.496266,-1.043012
132.048,3.496074,-1.042815
132.542,3.495829,-1.042477
133.036,3.495648,-1.042188
133.531,3.495451,-1.041994
132.666,3.495451,-1.041994
131.801,3.495451,-1.041994
130.977,3.495451,-1.041994
130.071,3.495451,-1.041994
129.207,3.495451,-1.041994
128.342,3.495451,-1.041994
127.518,3.495451,-1.041994
126.653,3.495451,-1.041994
125.788,3.495451,-1.041994
124.924,3.495451,-1.041994
124.059,3.495451,-1.041994
123.194,3.495451,-1.041994
122.329,3.495451,-1.041994
121.505,3.495451,-1.041994
120.598,3.495451,-1.041994
119.774,3.495451,-1.041994
118.909,3.495451,-1.041994
118.003,3.495451,-1.041994
117.179,3.495451,-1.041994
116.314,3.495451,-1.041994
115.489,3.495451,-1.041994
114.583,3.495451,-1.041994
113.718,3.495451,-1.041994
