t_rel_s,voc_v,esr_ohm
90.305,3.642400,0.139800
90.975,3.643800,0.137500
91.635,3.644500,0.137500
92.294,3.645200,0.136700
92.954,3.645700,0.135900
93.614,3.646200,0.135900
94.275,3.646600,0.136800
94.934,3.647100,0.137000
95.595,3.647500,0.137000
96.255,3.647800,0.136900
96.915,3.648200,0.136700
97.575,3.648500,0.136800
98.235,3.648900,0.136600
98.894,3.649200,0.136600
99.555,3.649500,0.136800
100.215,3.649700,0.136800
100.875,3.650000,0.136700
101.535,3.650300,0.136600
102.195,3.650500,0.136700
102.855,3.650800,0.136700
103.515,3.651000,0.136800
104.174,3.651200,0.136400
104.834,3.651500,0.136600
105.494,3.651700,0.136600
106.155,3.651900,0.136700
106.815,3.652100,0.136500
107.475,3.652300,0.136600
108.135,3.652500,0.136300
108.795,3.652700,0.136500
109.455,3.652800,0.136600
110.115,3.653000,0.136400
110.775,3.653200,0.136300
111.435,3.653400,0.136600
112.095,3.653500,0.136400
112.755,3.653700,0.136400
113.415,3.653900,0.136300
114.075,3.654000,0.136600
114.735,3.654200,0.136300
115.395,3.654300,0.136300
116.055,3.654500,0.136400
116.715,3.654600,0.136500
117.375,3.654700,0.136400
118.035,3.654900,0.136500
118.695,3.655000,0.136300
119.355,3.655100,0.136300
120.015,3.655300,0.136400
160.635,3.637400,0.144000
161.295,3.638700,0.141700
161.955,3.639400,0.141800
162.615,3.640100,0.141200
163.275,3.640600,0.141200
163.935,3.641100,0.141300
164.595,3.641500,0.141500
165.256,3.641900,0.141200
165.915,3.642300,0.141100
166.575,3.642700,0.141200
167.235,3.643000,0.141100
167.895,3.643400,0.141100
168.555,3.643700,0.141100
169.216,3.644000,0.141100
169.875,3.644300,0.140900
170.535,3.644600,0.140900
171.195,3.644800,0.141000
171.855,3.645100,0.141000
172.515,3.645300,0.141100
173.175,3.645600,0.141000
173.835,3.645800,0.141000
174.495,3.646000,0.140900
175.155,3.646200,0.140900
175.815,3.646400,0.140800
176.475,3.646600,0.140800
177.135,3.646800,0.140700
177.796,3.647000,0.140800
178.456,3.647200,0.140700
179.116,3.647400,0.140800
179.775,3.647600,0.140700
180.435,3.647800,0.140800
181.096,3.647900,0.140800
181.756,3.648100,0.140700
182.415,3.648300,0.140700
183.075,3.648400,0.140600
183.736,3.648600,0.140600
184.395,3.648700,0.140700
185.056,3.648900,0.140500
185.716,3.649000,0.140700
186.376,3.649100,0.140700
187.036,3.649300,0.140700
187.695,3.649400,0.140600
188.356,3.649600,0.140800
189.016,3.649700,0.140500
189.675,3.649800,0.140700
190.336,3.649900,0.140600
