Timestamp (s),Set Current (A),Measured Voltage (V),Measured Current (A),Status
0.186,0.0000,3.5129,0.0000,OK
1.086,0.2000,3.5497,0.2000,OK
2.090,0.4000,3.8639,0.4000,OK
3.089,0.6000,4.1993,0.6000,VOLTAGE_LIMIT_REACHED
4.086,0.8000,4.1994,0.8000,VOLTAGE_LIMIT_REACHED
5.085,1.0000,4.1995,1.0000,VOLTAGE_LIMIT_REACHED
6.085,1.0000,4.1996,1.0000,VOLTAGE_LIMIT_REACHED
7.084,1.0000,4.1997,1.0000,VOLTAGE_LIMIT_REACHED
8.085,1.0000,4.1998,1.0000,VOLTAGE_LIMIT_REACHED
9.084,1.0000,4.1998,1.0000,VOLTAGE_LIMIT_REACHED
10.084,1.0000,4.1998,1.0000,VOLTAGE_LIMIT_REACHED
11.083,0.8000,4.1998,0.8000,VOLTAGE_LIMIT_REACHED
12.083,0.6000,4.1997,0.6000,VOLTAGE_LIMIT_REACHED
13.082,0.4000,3.8660,0.4000,OK
14.082,0.2000,3.5553,0.2000,OK
15.082,0.0000,3.5478,0.0000,OK
