step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.66688,0.0,4.141509056091309,OK
2,discharge,1.0,3.517391,-1.041415,45.27362298965454,OK
3,discharge,1.0,3.516552,-1.040943,46.27874732017517,OK
4,discharge,1.0,3.515857,-1.040551,47.286484241485596,OK
5,discharge,1.0,3.515186,-1.040169,48.291643381118774,OK
6,discharge,1.0,3.514406,-1.039773,49.29682779312134,OK
7,discharge,1.0,3.513718,-1.039397,50.30104684829712,OK
8,discharge,1.0,3.51298,-1.039024,51.30606937408447,OK
9,discharge,1.0,3.512279,-1.038801,52.311450242996216,OK
10,discharge,1.0,3.511605,-1.038349,53.316999435424805,OK
11,discharge,1.0,3.511006,-1.037909,54.321980476379395,OK
12,discharge,1.0,3.510298,-1.03738,55.32718801498413,OK
13,discharge,1.0,3.509637,-1.037136,56.33312368392944,OK
14,discharge,1.0,3.508982,-1.036862,57.3392333984375,OK
15,discharge,1.0,3.508372,-1.036854,58.34675145149231,OK
16,discharge,1.0,3.508186,-1.036525,59.35169315338135,OK
17,charge,0.2,3.671393,0.2,64.47389435768127,OK
18,charge,0.4,3.698093,0.4,65.58388614654541,OK
19,charge,0.6,3.725039,0.6,66.69385838508606,OK
20,charge,0.8,3.752278,0.8,67.80394721031189,OK
21,charge,1.0,3.779883,1.0,68.91385865211487,OK
22,charge,0.5,3.716686,0.5,70.02403807640076,OK
23,discharge,1.0,3.495195,-1.032766,111.15615010261536,OK
24,discharge,1.0,3.494713,-1.032642,112.16112112998962,OK
