elapsed_s,mode,volt_v,curr_a
0.1,PULSE,3.740893,-1.069568
1.2,PULSE,3.736995,-1.069409
2.3,PULSE,3.734803,-1.069195
3.3,PULSE,3.733083,-1.068948
4.4,PULSE,3.731686,-1.068530
5.5,REST,3.734050,-1.043013
6.6,REST,3.735249,-1.032049
7.6,REST,3.735527,-1.023886
8.7,REST,3.735188,-1.019853
9.7,REST,3.734881,-1.015886
10.9,PULSE,3.725837,-1.064822
11.9,PULSE,3.724911,-1.064035
13.0,PULSE,3.724109,-1.063249
14.0,PULSE,3.723372,-1.062347
15.1,PULSE,3.722648,-1.061575
16.2,REST,3.724762,-1.038179
17.3,REST,3.726592,-1.028488
18.3,REST,3.727661,-1.017832
19.4,REST,3.728074,-1.011427
20.5,REST,3.727890,-1.008530
21.6,PULSE,3.719260,-1.056881
22.6,PULSE,3.718535,-1.056243
23.7,PULSE,3.717946,-1.055532
24.8,PULSE,3.717341,-1.054889
25.8,PULSE,3.716795,-1.054323
26.9,REST,3.718244,-1.032127
28.0,REST,3.720153,-1.026824
29.1,REST,3.721205,-1.017109
30.1,REST,3.721689,-1.011176
31.2,REST,3.721531,-1.008841
32.3,PULSE,3.714148,-1.050517
33.4,PULSE,3.713553,-1.050167
34.4,PULSE,3.713094,-1.049544
35.5,PULSE,3.712663,-1.048929
36.5,PULSE,3.712201,-1.048409
37.7,REST,3.713568,-1.027669
38.7,REST,3.716063,-1.019066
39.8,REST,3.716772,-1.011170
40.8,REST,3.717294,-1.005542
41.9,REST,3.716888,-1.002402
43.0,PULSE,3.709486,-1.045663
44.1,PULSE,3.709025,-1.045195
45.1,PULSE,3.708593,-1.044902
46.2,PULSE,3.708232,-1.044472
47.3,PULSE,3.707882,-1.043972
48.4,REST,3.709565,-1.021861
49.4,REST,3.711875,-1.015211
50.5,REST,3.712967,-1.006577
51.6,REST,3.713488,-1.001396
52.6,REST,3.714025,-0.995867
53.7,PULSE,3.706156,-1.041829
54.8,PULSE,3.705739,-1.041563
55.9,PULSE,3.705400,-1.041230
56.9,PULSE,3.705070,-1.040936
58.0,PULSE,3.704742,-1.040667
59.1,REST,3.707846,-1.018954
60.2,REST,3.709601,-1.007156
61.2,REST,3.710478,-1.000319
62.3,REST,3.711003,-0.995457
63.4,REST,3.710934,-0.994452
