t_rel_s,volt_v,curr_a,phase,voc_v,esr_ohm
0.412000,3.642347,-1.075716,discharge,,
0.906000,3.641386,-1.075732,discharge,,
1.400000,3.640436,-1.075641,discharge,,
1.936000,3.639694,-1.075517,discharge,,
3.047000,3.638507,-1.075115,discharge,,
3.541000,3.637901,-1.074835,discharge,,
4.036000,3.637445,-1.074618,discharge,,
4.530000,3.637094,-1.074532,discharge,,
5.065000,3.636600,-1.074191,discharge,,
5.560000,3.636152,-1.073867,discharge,,
6.054000,3.635886,-1.073723,discharge,,
6.548000,3.635542,-1.073431,discharge,,
7.083000,3.635026,-1.073171,discharge,,
7.578000,3.634197,-1.072766,discharge,,
8.072000,3.634152,-1.072513,discharge,,
8.566000,3.633979,-1.072134,discharge,,
9.101000,3.633451,-1.071810,discharge,,
9.595000,3.633601,-1.071526,discharge,,
10.090000,3.633390,-1.071013,discharge,,
10.584000,3.633039,-1.070531,discharge,,
11.119000,3.632792,-1.070148,discharge,,
11.613000,3.632668,-1.069497,discharge,,
12.108000,3.632334,-1.069339,discharge,,
12.602000,3.632110,-1.068926,discharge,,
13.137000,3.631937,-1.068539,discharge,,
13.632000,3.631721,-1.067990,discharge,,
14.126000,3.631400,-1.067656,discharge,,
14.620000,3.631288,-1.067171,discharge,,
15.114000,3.631168,-1.066653,discharge,,
15.649000,3.630826,-1.066288,discharge,,
16.143000,3.630638,-1.065868,discharge,,
16.638000,3.630467,-1.065711,discharge,,
17.132000,3.630275,-1.065258,discharge,,
17.667000,3.630002,-1.064857,discharge,,
18.161000,3.629883,-1.064381,discharge,,
18.656000,3.629753,-1.064020,discharge,,
19.150000,3.629489,-1.063588,discharge,,
19.686000,3.629278,-1.063167,discharge,,
20.180000,3.629223,-1.062890,discharge,,
20.674000,3.629075,-1.062324,discharge,,
21.168000,3.628809,-1.062088,discharge,,
21.703000,3.628676,-1.061632,discharge,,
22.198000,3.628602,-1.061384,discharge,,
22.692000,3.628382,-1.060792,discharge,,
23.186000,3.628149,-1.060474,discharge,,
23.680000,3.628109,-1.060043,discharge,,
24.216000,3.627939,-1.059735,discharge,,
24.710000,3.627687,-1.059557,discharge,,
25.204000,3.627588,-1.059243,discharge,,
25.739000,3.627518,-1.058900,discharge,,
26.234000,3.627279,-1.058612,discharge,,
26.728000,3.627077,-1.058319,discharge,,
27.222000,3.627064,-1.057936,discharge,,
27.716000,3.626916,-1.057698,discharge,,
28.252000,3.626731,-1.057138,discharge,,
28.746000,3.626595,-1.056775,discharge,,
29.240000,3.626544,-1.056521,discharge,,
29.734000,3.626295,-1.056350,discharge,,
30.269000,3.626132,-1.055865,discharge,,
30.764000,3.626133,-1.055510,discharge,,
31.258000,3.625982,-1.055474,discharge,,
31.752000,3.625727,-1.055151,discharge,,
32.288000,3.625655,-1.054893,discharge,,
32.782000,3.625619,-1.054582,discharge,,
33.276000,3.625432,-1.054116,discharge,,
33.770000,3.625281,-1.053984,discharge,,
34.305000,3.625218,-1.053589,discharge,,
34.800000,3.625094,-1.053466,discharge,,
35.294000,3.624908,-1.053025,discharge,,
35.829000,3.624787,-1.052764,discharge,,
36.323000,3.624777,-1.052538,discharge,,
36.818000,3.624625,-1.052136,discharge,,
37.312000,3.624445,-1.052098,discharge,,
37.847000,3.624384,-1.051799,discharge,,
38.341000,3.623852,-1.051710,discharge,,
38.835000,3.623585,-1.051522,discharge,,
39.730000,3.760700,0.000100,rest,3.760700,0.131800
40.390000,3.762300,0.000100,rest,3.762300,0.130000
41.050000,3.763300,0.000100,rest,3.763300,0.129700
41.710000,3.764000,0.000100,rest,3.764000,0.129500
42.370000,3.764600,0.000100,rest,3.764600,0.129500
43.030000,3.765100,0.000100,rest,3.765100,0.129400
43.690000,3.765600,0.000100,rest,3.765600,0.129300
44.350000,3.766000,0.000100,rest,3.766000,0.129400
45.010000,3.766400,0.000100,rest,3.766400,0.130100
45.670000,3.766700,0.000100,rest,3.766700,0.129900
46.330000,3.767000,0.000100,rest,3.767000,0.129300
46.990000,3.767300,0.000100,rest,3.767300,0.129600
47.650000,3.767600,0.000100,rest,3.767600,0.129500
48.310000,3.767900,0.000100,rest,3.767900,0.129300
48.970000,3.768100,0.000100,rest,3.768100,0.129400
49.630000,3.768300,0.000100,rest,3.768300,0.129500
50.290000,3.768600,0.000100,rest,3.768600,0.129300
50.950000,3.768800,0.000100,rest,3.768800,0.129900
51.610000,3.769000,0.000100,rest,3.769000,0.129600
52.270000,3.769200,0.000100,rest,3.769200,0.129700
52.930000,3.769400,0.000100,rest,3.769400,0.129700
53.590000,3.769600,0.000100,rest,3.769600,0.129900
54.250000,3.769700,0.000100,rest,3.769700,0.129600
54.910000,3.769900,0.000100,rest,3.769900,0.129600
55.570000,3.770100,0.000100,rest,3.770100,0.129600
56.230000,3.770200,0.000100,rest,3.770200,0.129700
56.890000,3.770400,0.000100,rest,3.770400,0.129700
57.550000,3.770500,0.000100,rest,3.770500,0.129800
58.210000,3.770700,0.000100,rest,3.770700,0.129800
58.870000,3.770900,0.000100,rest,3.770900,0.129500
59.530000,3.771000,0.000100,rest,3.771000,0.129800
60.190000,3.771100,0.000100,rest,3.771100,0.129800
60.850000,3.771300,0.000100,rest,3.771300,0.130100
61.510000,3.771400,0.000100,rest,3.771400,0.129800
62.170000,3.771500,0.000100,rest,3.771500,0.130200
62.830000,3.771600,0.000100,rest,3.771600,0.129800
63.490000,3.771800,0.000100,rest,3.771800,0.129700
64.150000,3.771900,0.000100,rest,3.771900,0.129900
64.810000,3.772000,0.000100,rest,3.772000,0.129800
65.470000,3.772100,0.000100,rest,3.772100,0.129800
66.130000,3.772200,0.000100,rest,3.772200,0.129900
66.790000,3.772300,0.000100,rest,3.772300,0.129800
67.450000,3.772500,0.000100,rest,3.772500,0.130000
68.110000,3.772600,0.000100,rest,3.772600,0.130000
68.770000,3.772700,0.000100,rest,3.772700,0.129700
69.430000,3.772800,0.000100,rest,3.772800,0.129700
70.340000,3.633661,-1.059782,discharge,,
70.834000,3.632776,-1.059964,discharge,,
71.369000,3.632047,-1.059930,discharge,,
71.864000,3.631316,-1.060022,discharge,,
72.976000,3.630104,-1.060055,discharge,,
73.470000,3.629508,-1.060135,discharge,,
73.964000,3.629065,-1.060042,discharge,,
74.459000,3.628613,-1.059951,discharge,,
74.994000,3.628357,-1.059630,discharge,,
75.488000,3.628006,-1.059876,discharge,,
75.982000,3.627584,-1.059826,discharge,,
76.476000,3.627312,-1.059592,discharge,,
76.970000,3.627109,-1.059493,discharge,,
77.505000,3.626824,-1.059003,discharge,,
78.000000,3.626530,-1.059121,discharge,,
78.494000,3.626405,-1.058856,discharge,,
79.029000,3.626190,-1.058577,discharge,,
79.524000,3.625854,-1.058450,discharge,,
80.018000,3.625506,-1.058115,discharge,,
80.512000,3.625403,-1.057661,discharge,,
81.048000,3.625143,-1.057725,discharge,,
81.542000,3.624876,-1.057356,discharge,,
82.036000,3.624763,-1.057165,discharge,,
82.530000,3.624619,-1.056954,discharge,,
83.024000,3.624321,-1.056705,discharge,,
83.559000,3.624148,-1.056415,discharge,,
84.054000,3.624072,-1.056129,discharge,,
84.548000,3.623916,-1.055712,discharge,,
85.042000,3.623658,-1.055455,discharge,,
85.578000,3.623569,-1.055004,discharge,,
86.072000,3.623482,-1.054785,discharge,,
86.566000,3.623259,-1.054424,discharge,,
87.060000,3.623079,-1.054213,discharge,,
87.595000,3.623047,-1.053753,discharge,,
88.089000,3.622891,-1.053571,discharge,,
88.583000,3.622634,-1.053238,discharge,,
89.077000,3.622566,-1.053215,discharge,,
89.612000,3.622466,-1.052971,discharge,,
90.106000,3.622251,-1.052638,discharge,,
90.600000,3.622131,-1.052380,discharge,,
91.094000,3.622112,-1.052093,discharge,,
91.629000,3.621896,-1.051739,discharge,,
92.123000,3.621747,-1.051460,discharge,,
92.617000,3.621742,-1.051188,discharge,,
93.111000,3.621634,-1.050681,discharge,,
93.646000,3.621392,-1.050532,discharge,,
94.140000,3.621355,-1.050261,discharge,,
94.634000,3.621292,-1.050056,discharge,,
95.128000,3.621073,-1.049881,discharge,,
95.622000,3.620963,-1.049722,discharge,,
96.157000,3.620939,-1.049549,discharge,,
96.651000,3.620764,-1.049327,discharge,,
97.145000,3.620642,-1.048949,discharge,,
97.639000,3.620627,-1.048795,discharge,,
98.174000,3.620511,-1.048573,discharge,,
98.668000,3.620301,-1.048387,discharge,,
99.162000,3.620260,-1.048110,discharge,,
99.697000,3.620213,-1.047884,discharge,,
100.191000,3.620040,-1.047737,discharge,,
100.685000,3.619886,-1.047708,discharge,,
101.179000,3.619657,-1.047373,discharge,,
101.714000,3.619611,-1.046900,discharge,,
102.208000,3.619389,-1.046771,discharge,,
102.702000,3.619694,-1.046600,discharge,,
103.237000,3.619875,-1.046425,discharge,,
103.731000,3.619666,-1.046311,discharge,,
104.225000,3.619645,-1.046047,discharge,,
104.719000,3.619657,-1.045820,discharge,,
105.254000,3.619505,-1.045600,discharge,,
105.748000,3.619389,-1.045272,discharge,,
106.242000,3.619415,-1.044974,discharge,,
106.777000,3.619322,-1.044767,discharge,,
107.271000,3.619146,-1.044725,discharge,,
107.765000,3.619100,-1.044254,discharge,,
108.259000,3.619092,-1.044323,discharge,,
108.794000,3.618927,-1.044094,discharge,,
109.680000,3.754500,0.000100,rest,3.754500,0.131800
110.340000,3.756000,0.000100,rest,3.756000,0.130900
111.000000,3.757000,0.000100,rest,3.757000,0.130700
111.660000,3.757700,0.000100,rest,3.757700,0.130600
112.320000,3.758400,0.000100,rest,3.758400,0.130500
112.980000,3.758900,0.000100,rest,3.758900,0.130400
113.640000,3.759400,0.000100,rest,3.759400,0.130500
114.300000,3.759800,0.000100,rest,3.759800,0.130400
114.960000,3.760300,0.000100,rest,3.760300,0.130300
115.621000,3.760600,0.000100,rest,3.760600,0.130200
116.280000,3.761000,0.000100,rest,3.761000,0.130100
116.940000,3.761300,0.000100,rest,3.761300,0.130200
117.600000,3.761600,0.000100,rest,3.761600,0.130000
118.260000,3.761900,0.000100,rest,3.761900,0.129600
118.920000,3.762200,0.000100,rest,3.762200,0.129700
119.580000,3.762500,0.000100,rest,3.762500,0.129400
120.240000,3.762700,0.000100,rest,3.762700,0.129600
120.900000,3.763000,0.000100,rest,3.763000,0.129400
121.560000,3.763200,0.000100,rest,3.763200,0.129600
122.220000,3.763400,0.000100,rest,3.763400,0.129500
122.880000,3.763700,0.000100,rest,3.763700,0.129600
123.540000,3.763900,0.000100,rest,3.763900,0.129200
124.200000,3.764100,0.000100,rest,3.764100,0.129600
124.860000,3.764300,0.000100,rest,3.764300,0.129800
125.520000,3.764500,0.000100,rest,3.764500,0.129600
126.180000,3.764700,0.000100,rest,3.764700,0.129500
126.840000,3.764900,0.000100,rest,3.764900,0.129400
127.500000,3.765100,0.000100,rest,3.765100,0.129000
128.160000,3.765200,0.000100,rest,3.765200,0.129300
128.820000,3.765400,0.000100,rest,3.765400,0.129200
129.481000,3.765600,0.000100,rest,3.765600,0.129100
130.140000,3.765700,0.000100,rest,3.765700,0.129300
130.801000,3.765900,0.000100,rest,3.765900,0.129100
131.461000,3.766000,0.000100,rest,3.766000,0.129300
132.120000,3.766200,0.000100,rest,3.766200,0.129100
132.780000,3.766300,0.000100,rest,3.766300,0.129200
133.440000,3.766500,0.000100,rest,3.766500,0.129100
134.100000,3.766600,0.000100,rest,3.766600,0.129000
134.760000,3.766800,0.000100,rest,3.766800,0.128600
135.420000,3.766900,0.000100,rest,3.766900,0.128600
136.080000,3.767000,0.000100,rest,3.767000,0.128500
136.740000,3.767200,0.000100,rest,3.767200,0.128600
137.400000,3.767300,0.000100,rest,3.767300,0.128400
138.060000,3.767400,0.000100,rest,3.767400,0.128700
138.720000,3.767500,0.000100,rest,3.767500,0.128500
139.380000,3.767600,0.000100,rest,3.767600,0.128800
