time_s,voltage_V,current_A
+0.000000E+00,+3.431922E+00,-1.076782E+00
+4.120000E-02,+3.431753E+00,-1.076785E+00
+8.250000E-02,+3.431619E+00,-1.076781E+00
+1.237000E-01,+3.431509E+00,-1.076777E+00
+1.650000E-01,+3.431397E+00,-1.076777E+00
+2.062000E-01,+3.431285E+00,-1.076818E+00
+2.475000E-01,+3.431190E+00,-1.076804E+00
+2.887000E-01,+3.431098E+00,-1.076812E+00
+3.299000E-01,+3.431003E+00,-1.076827E+00
+3.711000E-01,+3.430912E+00,-1.076825E+00
+4.124000E-01,+3.430836E+00,-1.076802E+00
+4.536000E-01,+3.430756E+00,-1.076798E+00
+4.948000E-01,+3.430663E+00,-1.076794E+00
+5.361000E-01,+3.430589E+00,-1.076833E+00
+5.773000E-01,+3.430500E+00,-1.076833E+00
+6.185000E-01,+3.430419E+00,-1.076823E+00
+6.598000E-01,+3.430351E+00,-1.076813E+00
+7.010000E-01,+3.430284E+00,-1.076815E+00
+7.422000E-01,+3.430212E+00,-1.076798E+00
+7.835000E-01,+3.430144E+00,-1.076788E+00
+8.247000E-01,+3.430079E+00,-1.076784E+00
+8.659000E-01,+3.430011E+00,-1.076796E+00
+9.072000E-01,+3.429937E+00,-1.076774E+00
+9.484000E-01,+3.429884E+00,-1.076798E+00
+9.896000E-01,+3.429806E+00,-1.076810E+00
+1.030900E+00,+3.429744E+00,-1.076778E+00
+1.072100E+00,+3.429689E+00,-1.076748E+00
+1.113300E+00,+3.429622E+00,-1.076731E+00
+1.154600E+00,+3.429565E+00,-1.076722E+00
+1.195800E+00,+3.429501E+00,-1.076732E+00
+1.237000E+00,+3.429431E+00,-1.076756E+00
+1.278300E+00,+3.429380E+00,-1.076725E+00
+1.319500E+00,+3.429319E+00,-1.076724E+00
+1.360700E+00,+3.429270E+00,-1.076738E+00
+1.402000E+00,+3.429207E+00,-1.076728E+00
+1.443200E+00,+3.429162E+00,-1.076721E+00
+1.484400E+00,+3.429112E+00,-1.076717E+00
+1.525700E+00,+3.429040E+00,-1.076712E+00
+1.566900E+00,+3.428989E+00,-1.076704E+00
+1.608100E+00,+3.428938E+00,-1.076684E+00
+1.649400E+00,+3.428885E+00,-1.076681E+00
+1.690600E+00,+3.428843E+00,-1.076668E+00
+1.731800E+00,+3.428788E+00,-1.076639E+00
+1.773100E+00,+3.428748E+00,-1.076627E+00
+1.814300E+00,+3.428680E+00,-1.076618E+00
+1.855600E+00,+3.428631E+00,-1.076615E+00
+1.896800E+00,+3.428585E+00,-1.076581E+00
+1.938000E+00,+3.428538E+00,-1.076573E+00
+1.979300E+00,+3.428488E+00,-1.076564E+00
+2.020500E+00,+3.428456E+00,-1.076555E+00
+2.061700E+00,+3.428396E+00,-1.076540E+00
+2.102900E+00,+3.428361E+00,-1.076541E+00
+2.144200E+00,+3.428304E+00,-1.076523E+00
+2.185400E+00,+3.428272E+00,-1.076512E+00
+2.226700E+00,+3.428223E+00,-1.076507E+00
+2.267900E+00,+3.428168E+00,-1.076505E+00
+2.309100E+00,+3.428142E+00,-1.076499E+00
+2.350400E+00,+3.428081E+00,-1.076506E+00
+2.391600E+00,+3.428028E+00,-1.076497E+00
+2.432800E+00,+3.427992E+00,-1.076477E+00
+2.474100E+00,+3.427939E+00,-1.076461E+00
+2.515300E+00,+3.427899E+00,-1.076465E+00
+2.556500E+00,+3.427859E+00,-1.076437E+00
+2.597800E+00,+3.427814E+00,-1.076440E+00
+2.639000E+00,+3.427768E+00,-1.076440E+00
+2.680200E+00,+3.427734E+00,-1.076395E+00
+2.721500E+00,+3.427698E+00,-1.076361E+00
+2.762700E+00,+3.427650E+00,-1.076348E+00
+2.804000E+00,+3.427618E+00,-1.076350E+00
+2.845200E+00,+3.427592E+00,-1.076352E+00
+2.886400E+00,+3.427538E+00,-1.076329E+00
+2.927600E+00,+3.427495E+00,-1.076308E+00
+2.968900E+00,+3.427452E+00,-1.076308E+00
+3.010100E+00,+3.427410E+00,-1.076303E+00
+3.051300E+00,+3.427387E+00,-1.076275E+00
+3.092600E+00,+3.427336E+00,-1.076245E+00
+3.133800E+00,+3.427298E+00,-1.076226E+00
+3.175000E+00,+3.427265E+00,-1.076215E+00
+3.216200E+00,+3.427224E+00,-1.076192E+00
+3.257500E+00,+3.427184E+00,-1.076174E+00
+3.298700E+00,+3.427150E+00,-1.076152E+00
+3.339900E+00,+3.427114E+00,-1.076141E+00
+3.381100E+00,+3.427072E+00,-1.076122E+00
+3.422300E+00,+3.427028E+00,-1.076090E+00
+3.463500E+00,+3.427004E+00,-1.076080E+00
+3.504700E+00,+3.426972E+00,-1.076059E+00
+3.545900E+00,+3.426924E+00,-1.076040E+00
+3.587200E+00,+3.426881E+00,-1.076046E+00
+3.628400E+00,+3.426866E+00,-1.076034E+00
+3.669600E+00,+3.426827E+00,-1.076013E+00
+3.710800E+00,+3.426784E+00,-1.075968E+00
+3.751800E+00,+3.426758E+00,-1.075947E+00
+3.793000E+00,+3.426722E+00,-1.075945E+00
+3.834200E+00,+3.426674E+00,-1.075929E+00
+3.875400E+00,+3.426642E+00,-1.075921E+00
+3.916600E+00,+3.426602E+00,-1.075912E+00
+3.957800E+00,+3.426574E+00,-1.075914E+00
+3.999100E+00,+3.426536E+00,-1.075896E+00
+4.040300E+00,+3.426502E+00,-1.075863E+00
+4.081500E+00,+3.426473E+00,-1.075858E+00
+4.122700E+00,+3.426446E+00,-1.075841E+00
+4.163900E+00,+3.426418E+00,-1.075825E+00
+4.205100E+00,+3.426380E+00,-1.075824E+00
+4.246300E+00,+3.426335E+00,-1.075808E+00
+4.287500E+00,+3.426317E+00,-1.075786E+00
+4.328800E+00,+3.426274E+00,-1.075775E+00
+4.370000E+00,+3.426232E+00,-1.075735E+00
+4.411200E+00,+3.426204E+00,-1.075704E+00
+4.452400E+00,+3.426191E+00,-1.075662E+00
+4.493600E+00,+3.426152E+00,-1.075658E+00
+4.534900E+00,+3.426124E+00,-1.075618E+00
+4.576100E+00,+3.426100E+00,-1.075536E+00
+4.617300E+00,+3.426052E+00,-1.075606E+00
+4.658500E+00,+3.426022E+00,-1.075583E+00
+4.699800E+00,+3.426007E+00,-1.075548E+00
+4.741000E+00,+3.425963E+00,-1.075516E+00
+4.782200E+00,+3.425933E+00,-1.075488E+00
+4.823500E+00,+3.425900E+00,-1.075448E+00
+4.864700E+00,+3.425881E+00,-1.075437E+00
+4.906000E+00,+3.425851E+00,-1.075411E+00
+4.947200E+00,+3.425824E+00,-1.075383E+00
+4.988400E+00,+3.425787E+00,-1.075370E+00
+5.029700E+00,+3.425752E+00,-1.075340E+00
+5.070900E+00,+3.425719E+00,-1.075309E+00
+5.112100E+00,+3.425701E+00,-1.075272E+00
+5.153300E+00,+3.425658E+00,-1.075270E+00
+5.194600E+00,+3.425644E+00,-1.075269E+00
+5.235800E+00,+3.425606E+00,-1.075246E+00
+5.277000E+00,+3.425569E+00,-1.075226E+00
+5.318300E+00,+3.425551E+00,-1.075207E+00
+5.359500E+00,+3.425515E+00,-1.075213E+00
+5.400700E+00,+3.425493E+00,-1.075182E+00
+5.441900E+00,+3.425461E+00,-1.075155E+00
+5.483200E+00,+3.425430E+00,-1.075169E+00
+5.524400E+00,+3.425396E+00,-1.075146E+00
+5.565700E+00,+3.425366E+00,-1.075139E+00
+5.606900E+00,+3.425335E+00,-1.075132E+00
+5.648200E+00,+3.425314E+00,-1.075119E+00
+5.689400E+00,+3.425282E+00,-1.075097E+00
+5.730600E+00,+3.425248E+00,-1.075083E+00
+5.771800E+00,+3.425225E+00,-1.075042E+00
+5.813100E+00,+3.425195E+00,-1.075042E+00
+5.854300E+00,+3.425169E+00,-1.075038E+00
+5.895500E+00,+3.425119E+00,-1.075033E+00
+5.936800E+00,+3.425102E+00,-1.075021E+00
