SOC (%),VOLT (V),ESR (Ω)
0.0,3.5,0.1868
0.047103155911446065,3.507,0.1865
0.09420631182289213,3.514,0.1862
0.1413094677343382,3.521,0.1859
0.18841262364578426,3.528,0.1856
0.23551577955723033,3.535,0.1852
0.2826189354686764,3.542,0.1849
0.3297220913801225,3.549,0.1846
0.3768252472915685,3.556,0.1843
0.4239284032030146,3.563,0.184
0.47103155911446065,3.57,0.1836
0.5181347150259067,3.577,0.1833
0.5652378709373528,3.584,0.183
0.6123410268487989,3.591,0.1827
0.659444182760245,3.598,0.1824
0.706547338671691,3.605,0.1821
0.753650494583137,3.612,0.1817
0.8007536504945831,3.619,0.1814
0.8478568064060292,3.626,0.1811
0.8949599623174753,3.633,0.1808
0.9420631182289213,3.64,0.1805
0.9891662741403674,3.647,0.1801
1.0362694300518134,3.654,0.1798
1.0833725859632595,3.661,0.1795
1.1304757418747056,3.668,0.1792
1.1775788977861517,3.675,0.1789
1.2246820536975978,3.682,0.1786
1.2717852096090438,3.689,0.1782
1.31888836552049,3.696,0.1779
1.365991521431936,3.703,0.1776
1.413094677343382,3.71,0.1773
1.460197833254828,3.717,0.177
1.507300989166274,3.724,0.1766
1.5544041450777202,3.731,0.1763
1.6015073009891663,3.738,0.176
1.6486104569006124,3.745,0.1757
1.6957136128120585,3.752,0.1754
1.7428167687235046,3.759,0.1751
1.7899199246349506,3.766,0.1747
1.8370230805463965,3.773,0.1744
1.8841262364578426,3.78,0.1741
1.9312293923692887,3.787,0.1738
1.9783325482807348,3.794,0.1735
2.025435704192181,3.801,0.1731
2.0725388601036268,3.808,0.1728
2.119642016015073,3.815,0.1725
2.166745171926519,3.822,0.1722
2.2138483278379653,3.829,0.1719
2.260951483749411,3.836,0.1715
2.3080546396608574,3.843,0.1712
2.3551577955723033,3.85,0.1709
2.4022609514837496,3.857,0.1706
2.4493641073951955,3.864,0.1703
2.4964672633066414,3.871,0.17
2.5435704192180877,3.878,0.1696
2.5906735751295336,3.885,0.1693
2.63777673104098,3.892,0.169
2.6848798869524257,3.899,0.1687
2.731983042863872,3.906,0.1684
2.779086198775318,3.913,0.168
2.826189354686764,3.92,0.1677
2.87329251059821,3.927,0.1674
2.920395666509656,3.934,0.1671
2.9674988224211023,3.941,0.1668
3.014601978332548,3.948,0.1665
3.0617051342439945,3.955,0.1661
3.1088082901554404,3.962,0.1658
3.1559114460668867,3.969,0.1655
3.2030146019783325,3.976,0.1652
3.2501177578897784,3.983,0.1649
3.2972209138012247,3.99,0.1645
3.3443240697126706,3.997,0.1642
3.391427225624117,4.004,0.1639
3.438530381535563,4.011,0.1636
3.485633537447009,4.018,0.1633
3.532736693358455,4.025,0.163
3.5798398492699013,4.032,0.1626
3.626943005181347,4.039,0.1623
3.674046161092793,4.046,0.162
3.7211493170042393,4.053,0.1617
3.768252472915685,4.06,0.1614
3.8153556288271315,4.067,0.161
3.8624587847385774,4.074,0.1607
3.9095619406500237,4.081,0.1604
3.9566650965614696,4.088,0.1601
4.0037682524729155,4.095,0.1598
4.050871408384362,4.102,0.1594
4.097974564295808,4.109,0.1591
4.1450777202072535,4.116,0.1588
4.1921808761187,4.123,0.1585
4.239284032030146,4.13,0.1582
4.2863871879415925,4.137,0.1579
4.333490343853038,4.144,0.1575
4.380593499764484,4.151,0.1572
4.4276966556759305,4.158,0.1569
4.474799811587376,4.165,0.1566
4.521902967498822,4.172,0.1563
4.569006123410269,4.179,0.1559
4.616109279321715,4.186,0.1556
4.66321243523316,4.193,0.1553
4.710315591144607,4.2,0.155
