step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.645865,0.0,4.129299879074097,OK
2,discharge,1.0,,,9.039793252944946,DISCHARGE_MODE
3,discharge,1.0,,,10.040322065353394,DISCHARGE_MODE
4,discharge,1.0,,,11.040467023849487,DISCHARGE_MODE
5,discharge,1.0,,,12.040976762771606,DISCHARGE_MODE
6,discharge,1.0,,,13.041537523269653,DISCHARGE_MODE
7,discharge,1.0,,,14.042083740234375,DISCHARGE_MODE
8,discharge,1.0,,,15.042550086975098,DISCHARGE_MODE
9,discharge,1.0,,,16.042688131332397,DISCHARGE_MODE
10,discharge,1.0,,,17.04312252998352,DISCHARGE_MODE
11,discharge,1.0,,,18.04359197616577,DISCHARGE_MODE
12,discharge,1.0,,,19.044102907180786,DISCHARGE_MODE
13,discharge,1.0,,,20.044661283493042,DISCHARGE_MODE
14,discharge,1.0,,,21.044795751571655,DISCHARGE_MODE
15,discharge,1.0,,,22.045020580291748,DISCHARGE_MODE
16,discharge,1.0,,,23.04546070098877,DISCHARGE_MODE
16,discharge_final,1.0,3.465717,-1.069175,24.60898756980896,FINAL
17,charge,0.2,3.667275,0.2,28.73912787437439,OK
18,charge,0.4,3.70055,0.4,29.84880805015564,OK
19,charge,0.6,3.733912,0.6,30.958838939666748,OK
20,charge,0.8,3.768078,0.8,32.068838357925415,OK
21,charge,1.0,3.803896,1.0,33.17886805534363,OK
22,charge,0.5,3.721957,0.5,34.288857221603394,OK
23,discharge,1.0,,,39.19970750808716,DISCHARGE_MODE
24,discharge,1.0,,,40.200196743011475,DISCHARGE_MODE
24,discharge_final,1.0,3.458062,-1.065802,41.70686721801758,FINAL
